"typeID","text","filename","speaker","textagain","baseType","topic","info","confirms",,"requires_gender","requires_news",,"provides_gender","provides_news"
,,,,,,,,,,,,,,
0,"What is up with Neil lately?","1_0_001",1,"What is up with Neil lately?","introduce_topic","Neil",,,,,,,"male",
0,"You know, I haven't heard from Elektra in a long time.","1_0_002",1,"You know, I haven't heard from Elektra in a long time.","introduce_topic","Elektra",,,,,,,"female",
0,"How has Joaquin been?","1_0_003",1,"How has Joaquin been?","introduce_topic","Joaquin",,,,,,,"male",
0,"I haven't heard much from Demetrius.","1_0_004",1,"I haven't heard much from Demetrius.","introduce_topic","Demetrius",,,,,,,"male",
0,"Has Jesus been around much?","1_0_005",1,"Has Jesus been around much?","introduce_topic","Jesus",,,,,,,"male",
0,"What's the word on Carlos?","1_0_006",1,"What's the word on Carlos?","introduce_topic","Carlos",,,,,,,"male",
0,"Have you checked in with Abdul recently?","1_0_007",1,"Have you checked in with Abdul recently?","introduce_topic","Abdul",,,,,,,"male",
0,"What's up with William?","1_0_008",1,"What's up with William?","introduce_topic","William",,,,,,,"male",
0,"Say, do you remember Maria from that trip?","1_0_009",1,"Say, do you remember Maria from that trip?","introduce_topic","Maria",,,,,,,"female",
0,"What's up with Inez?","1_0_010",1,"What's up with Inez?","introduce_topic","Inez",,,,,,,"female",
0,"I'm trying to remember the last time I saw Raven.","1_0_011",1,"I'm trying to remember the last time I saw Raven.","introduce_topic","Raven",,,,,,,"female",
0,"Is Destinee somewhere around?","1_0_012",1,"Is Destinee somewhere around?","introduce_topic","Destinee",,,,,,,"female",
0,"What's going on with Jennifer lately?","1_0_013",1,"What's going on with Jennifer lately?","introduce_topic","Jennifer",,,,,,,"female",
0,"Did you hear the news about Kenji?","1_0_014",1,"Did you hear the news about Kenji?","introduce_topic","Kenji",,,,,,,"female",
0,"Has Akiko shown up yet?","1_0_015",1,"Has Akiko shown up yet?","introduce_topic","Akiko",,,,,,,"female",
0,"I ran into Lok recently.","1_0_016",1,"I ran to Lok recently.","introduce_topic","Lok",,,,,,,"female",
0,"Is it true that Max is up for re-election this year?","1_0_017",1,"Is it true that Max is up for re-election this year?","request_bool","Max","Is up for re-election",,,,,,"male",
0,"Is it true that Achim is building his own aquarium?","1_0_018",1,"Is it true that Achim is building his own aquarium?","request_bool","Achim","is building an aquarium",,,,,,"male",
0,"Does Helen still have that portrait of the Buddha?","1_0_019",1,"Does Helen still have that portrait of the Buddha?","request_bool","Helen","has a portrait of the Buddha",,,,,,"female",
0,"Hey, did they just put Gerhardt's face on a postage stamp?","1_0_020",1,"Hey, did they just put Gerhardt's face on a postage stamp?","request_bool","Gerhardt","put face on stamp",,,,,,"male",
0,"Say, do you know if Yukiko got hair extensions?","1_0_021",1,"Say, do you know if Yukiko got hair extensions?","request_bool","Yukiko","got hair extensions",,,,,,"female",
0,"Is it true that Finnegan is afraid of monkeys?","1_0_022",1,"Is it true that Finnegan is afraid of monkeys?","request_bool","Finnegan","is afraid of monkeys",,,,,,"male",
0,"Did Janet just trade her wedding ring for a turtle?","1_0_023",1,"Did Janet just trade her wedding ring for a turtle?","request_bool","Janet","has a turtle",,,,,,"female",
0,"Is it true that Joyti got A's in all of her classes?","1_0_024",1,"Is it true that Joyti got A's in all of her classes?","request_bool","Joyti","got A's",,,,,,"female",
0,"Did you guys hear that Lynette finally finished her PhD?","1_0_025",1,"  Did you guys hear that Lynette finally finished her PhD?","specific_info","Lynette","finally finished her PhD",,,,,,"female","positive"
0,"So I just saw Albert getting a speeding ticket on the way over here","1_0_026",1,"   So I just saw Albert getting a speeding ticket on the way over here","specific_info","Albert","got a speeding ticket",,,,,,"male","negative"
0,"Have you guys heard from Frida Rossi recently?","1_0_027",1,"Have you guys heard from Frida rossi recently?","introduce_topic","Frida rossi",,,,,,,"female",
0,"So, I ran into Fred Goh the other day.","1_0_028",1,"So, I ran into Fred goh the other day.","introduce_topic","Fred goh",,,,,,,"male",
0,"Has anyone seen Ferdinand O'Neill lately?","1_0_029",1,"Has anyone seen Ferdinand o'neill lately?","introduce_topic","Ferdinand o'neill",,,,,,,"male",
0,"It's been a while since I had Deshawn Sabra over.","1_0_030",1,"It's been a while since I had Deshawn sabra over.","introduce_topic","Deshawn sabra",,,,,,,"male",
0,"What's the deal with Jamal moser?","1_0_031",1,"What's the deal with Jamal moser?","introduce_topic","Jamal moser",,,,,,,"male",
0,"Has Joaquin Clark been showing up these days?","1_0_032",1,"Has Joaquin clark been showing up these days?","introduce_topic","Joaquin clark",,,,,,,"male",
0,"Have you heard about Diego Barker?","1_0_033",1,"Have you heard about Diego barker?","introduce_topic","Diego barker",,,,,,,"male",
0,"Have you seen Karim Thomas around?","1_0_034",1,"Have you seen Karim thomas around?","introduce_topic","Karim thomas",,,,,,,"male",
0,"Any sense of where Paul Russo is?","1_0_035",1,"Any sense of where Paul russo is?","introduce_topic","Paul russo",,,,,,,"male",
0,"Hey, do you remember Francesca Thomas?","1_0_036",1,"Hey, do you remember Francesca thomas?","introduce_topic","Francesca thomas",,,,,,,"female",
0,"What's the deal with Pilar O'Brien lately?","1_0_037",1,"What's the deal with Pilar o'brien lately?","introduce_topic","Pilar o'brien",,,,,,,"female",
0,"It's strange about Kesha O'Connor.","1_0_038",1,"It's strange about Kesha o'connor.","introduce_topic","Kesha o'connor",,,,,,,"female",
0,"What's up with Judy Rizzo?","1_0_039",1,"What's up with Judy rizzo?","introduce_topic","Judy rizzo",,,,,,,"female",
